FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z,running_video
0,0.5072500705718994,0.2556229829788208,-0.2352247834205627,0.5417473912239075,0.3270100355148315,-0.0654045045375824,0.5527697205543518,0.4181365966796875,-0.0085459500551223,0.4746683537960052,0.3267068862915039,-0.0792119354009628,0.4645386934280395,0.4200952351093292,-0.0437487550079822,0.5546175241470337,0.5019873976707458,-0.0707888379693031,0.4725423157215118,0.4995582997798919,-0.1057538539171218,0.5317022204399109,0.5074445605278015,0.0031929777469486,0.4935027658939361,0.510369062423706,-0.0032198494300246,0.5314546823501587,0.6434007883071899,0.0136324819177389,0.4921809136867523,0.6489977240562439,-0.0075657060369849,0.5347455143928528,0.7815693020820618,0.1160872504115104,0.4856789708137512,0.7839916944503784,0.0948786884546279,0
1,0.5071951150894165,0.2552876472473144,-0.2143592238426208,0.5418134331703186,0.3272178769111633,-0.0462149158120155,0.5529696941375732,0.4181941449642181,0.0002068881731247,0.4747070968151092,0.3266924619674682,-0.0643509477376937,0.4646188020706177,0.4208312034606933,-0.0396513007581234,0.555004894733429,0.5021255612373352,-0.0705476552248001,0.4737161099910736,0.4995088875293731,-0.1098334565758705,0.5318087339401245,0.5070058107376099,0.0033983397297561,0.4934111535549164,0.5089203119277954,-0.0034259408712387,0.5314565300941467,0.6437602639198303,-0.0115847485139966,0.4921863377094269,0.6478022933006287,-0.0212107188999652,0.5346814393997192,0.7815641760826111,0.1033854633569717,0.4856836199760437,0.7826050519943237,0.0872505977749824,0
2,0.5073291063308716,0.2558719515800476,-0.2117970883846283,0.5419827103614807,0.3273802399635315,-0.0443267561495304,0.5544248223304749,0.4181647002696991,-0.001605937606655,0.4748559892177582,0.3271677494049072,-0.0575777254998683,0.4650531411170959,0.422241747379303,-0.0325490683317184,0.555442214012146,0.502696692943573,-0.0832951888442039,0.4754364788532257,0.4997030794620514,-0.1093725711107254,0.5318534970283508,0.5067252516746521,0.0034399807918816,0.4933816492557525,0.5087597370147705,-0.0034683856647461,0.5313315987586975,0.6450205445289612,-0.0123471403494477,0.4922919869422912,0.6479194760322571,-0.0227035600692033,0.5344130396842957,0.7811936140060425,0.0960474014282226,0.4856889843940735,0.7826195955276489,0.0789875909686088,0
3,0.5076831579208374,0.2565550208091736,-0.2064778208732605,0.5420525074005127,0.3281556069850921,-0.0389534868299961,0.5544646382331848,0.4185885488986969,-2.671427682798821e-05,0.4752049744129181,0.327163428068161,-0.0527946762740612,0.4663618803024292,0.4228839874267578,-0.028752127662301,0.5557494759559631,0.502975344657898,-0.0837486162781715,0.476679652929306,0.4996581971645355,-0.1089745610952377,0.5319424271583557,0.5067182779312134,0.0034520446788519,0.4933814406394958,0.5087679028511047,-0.0034798986744135,0.5313055515289307,0.6460173726081848,-0.0146674159914255,0.4924086034297943,0.6480953693389893,-0.0242104660719633,0.5340598821640015,0.7813458442687988,0.0945064574480056,0.4856087863445282,0.7825987339019775,0.0782289952039718,0
4,0.5082703232765198,0.2565579414367676,-0.208344280719757,0.5422518849372864,0.328289121389389,-0.0405203066766262,0.5546099543571472,0.4185762703418731,-0.000709400861524,0.4755861461162567,0.3271655142307281,-0.0552806891500949,0.466874748468399,0.4231677949428558,-0.0307074654847383,0.5558503866195679,0.5029230117797852,-0.083731897175312,0.4775428473949432,0.4996558427810669,-0.1099531203508377,0.5322791934013367,0.5066038966178894,0.0038769321981817,0.4934490323066711,0.5086392164230347,-0.0039029265753924,0.5313079357147217,0.6464821696281433,-0.0118664149194955,0.4925611913204193,0.648155927658081,-0.0252455845475196,0.5340495705604553,0.7812420129776001,0.0939493104815483,0.4856086373329162,0.7828468084335327,0.0725144520401954,0
5,0.5087345242500305,0.2566076219081878,-0.2059323191642761,0.5424798130989075,0.3282423019409179,-0.0405279323458671,0.5544434189796448,0.4184809923171997,-0.001072876388207,0.4759915769100189,0.3270772397518158,-0.0546112842857837,0.4671400189399719,0.4233891367912292,-0.0313706696033477,0.5552422404289246,0.5028126239776611,-0.0837079510092735,0.4776233732700348,0.4999324679374695,-0.1103585511445999,0.5328889489173889,0.505897045135498,0.0033909601625055,0.4938949346542358,0.5081421136856079,-0.003412963123992,0.5313345789909363,0.6459653973579407,-0.0122259156778454,0.4925802648067474,0.6477229595184326,-0.02402313798666,0.533957839012146,0.7812402248382568,0.0879817828536033,0.4856124222278595,0.782745897769928,0.0726838335394859,0
6,0.5087522864341736,0.256606251001358,-0.2021054923534393,0.5431392192840576,0.3285529911518097,-0.0380945652723312,0.5551435947418213,0.4186813831329345,0.0005465896101668,0.4763675034046173,0.3270477652549743,-0.052233088761568,0.4672794044017792,0.4235180616378784,-0.0299007818102836,0.5551920533180237,0.5033041834831238,-0.0829637944698333,0.4776365458965301,0.5011681914329529,-0.1102295815944671,0.5333946943283081,0.5066960453987122,0.0032945284619927,0.4940742552280426,0.5085874199867249,-0.0033193244598805,0.5314606428146362,0.6469773054122925,-0.0157016608864069,0.4925738871097564,0.6481239199638367,-0.0233069881796836,0.5339698791503906,0.7817427515983582,0.0907195508480072,0.48561891913414,0.7827814817428589,0.0784016698598861,0
7,0.5094253420829773,0.257372111082077,-0.2097797393798828,0.5434200167655945,0.3288121819496155,-0.0411171577870845,0.5551844835281372,0.4191224575042724,-0.0021058113779872,0.476707249879837,0.3271805942058563,-0.0613379441201686,0.46738201379776,0.4235962331295013,-0.0394178628921508,0.5550609230995178,0.5039311647415161,-0.0846180692315101,0.4775094091892242,0.5022501349449158,-0.1168453320860862,0.533414900302887,0.5067799091339111,0.0047640134580433,0.4940750002861023,0.5085958242416382,-0.0047977962531149,0.5317455530166626,0.6470985412597656,-0.0139152416959404,0.492643266916275,0.6482261419296265,-0.0236387681216001,0.5339769124984741,0.7818259596824646,0.0927082300186157,0.485564649105072,0.7830861806869507,0.0778092965483665,0
8,0.509424090385437,0.2573384046554565,-0.2061179131269455,0.5436497330665588,0.3288533091545105,-0.0406973734498024,0.5553143620491028,0.4191151559352875,-0.0020729580428451,0.4769785702228546,0.3271946907043457,-0.0598468370735645,0.4674137830734253,0.4236097037792206,-0.0391302183270454,0.5546718239784241,0.5040150880813599,-0.0820521861314773,0.4766672849655151,0.5025197863578796,-0.1160946413874626,0.533450186252594,0.5067869424819946,0.0049685249105095,0.4941200315952301,0.5085352659225464,-0.0049981353804469,0.5318378210067749,0.646734893321991,-0.009486342780292,0.4927734136581421,0.6475053429603577,-0.0236725080758333,0.5340468287467957,0.7815030217170715,0.0924794673919677,0.4855894446372986,0.7830963134765625,0.0717191398143768,0
9,0.5095754861831665,0.2573548555374145,-0.2059504389762878,0.543839693069458,0.3289183974266052,-0.0408971346914768,0.5553110837936401,0.419296532869339,-0.0040999106131494,0.4773056805133819,0.3272415399551391,-0.0584740489721298,0.4674049913883209,0.4236344397068023,-0.038734808564186,0.553918182849884,0.5040921568870544,-0.0868819877505302,0.4755363464355469,0.5027332305908203,-0.1152198761701583,0.5335992574691772,0.5070427656173706,0.0050967396236956,0.4942585527896881,0.508554995059967,-0.0051262183114886,0.5319185853004456,0.6467211842536926,-0.0090997824445366,0.492792546749115,0.6475707292556763,-0.0235387869179248,0.5339616537094116,0.7814984321594238,0.0952105671167373,0.4856133460998535,0.7828593254089355,0.0731492936611175,0
10,0.5097723007202148,0.257367879152298,-0.1963303238153457,0.5441640019416809,0.3290134966373443,-0.0362240336835384,0.5541405081748962,0.4193372130393982,-0.0027098127175122,0.4778096973896026,0.3273091912269592,-0.0467207767069339,0.4674692451953888,0.4236268103122711,-0.0244165007025003,0.5532588362693787,0.5042120814323425,-0.0867044925689697,0.4734360575675964,0.5030872225761414,-0.1021360009908676,0.5340468883514404,0.5074315667152405,0.004624334629625,0.4946953654289245,0.5085523128509521,-0.0046533988788723,0.5320203304290771,0.6469796299934387,-0.0129542164504528,0.4929772019386291,0.6477951407432556,-0.024501672014594,0.5342457294464111,0.7804635763168335,0.0951159745454788,0.4856237173080444,0.7834669351577759,0.0736874043941497,0
11,0.5098071694374084,0.2574110627174377,-0.1930490434169769,0.5442307591438293,0.3290724456310272,-0.0350121930241584,0.5540571212768555,0.419337660074234,-0.0019400028977543,0.4778307676315307,0.3275712728500366,-0.0445243045687675,0.4670352041721344,0.4236297607421875,-0.0221605934202671,0.552928626537323,0.504210889339447,-0.0862122476100921,0.4721793532371521,0.5022017955780029,-0.0996938124299049,0.5341968536376953,0.5077921748161316,0.0040666428394615,0.4948099851608276,0.5086234211921692,-0.004098332952708,0.5320747494697571,0.6479517817497253,-0.0143294362351298,0.4930820763111114,0.6481469869613647,-0.0244366191327571,0.5343155264854431,0.7805787324905396,0.09097920358181,0.4856330454349518,0.7843800187110901,0.0740957930684089,0
12,0.5101342797279358,0.2574798762798309,-0.1944096982479095,0.5443068146705627,0.3290821611881256,-0.0365930832922458,0.5534093976020813,0.4191356897354126,-0.002744942670688,0.4777990877628326,0.3275816142559051,-0.0463415645062923,0.4665021300315857,0.4237616062164306,-0.0221091248095035,0.5525633692741394,0.5044207572937012,-0.0882024765014648,0.4700354039669037,0.5024366974830627,-0.0990034416317939,0.5342978239059448,0.5075187683105469,0.0030747491400688,0.4949803352355957,0.5084195733070374,-0.0031128746923059,0.5321192145347595,0.6479325294494629,-0.0165346655994653,0.4932588338851928,0.648163914680481,-0.0243902169167995,0.5344074964523315,0.7809360027313232,0.0874977186322212,0.4856334626674652,0.7848116755485535,0.0742896124720573,0
13,0.510120153427124,0.2575706243515014,-0.2039758265018463,0.5445512533187866,0.3292916119098663,-0.0449232533574104,0.5533490777015686,0.4194585680961609,-0.0079963421449065,0.4778009355068207,0.3278585076332092,-0.052320472896099,0.4661554098129272,0.4237861931324005,-0.0240114331245422,0.5523778200149536,0.5043571591377258,-0.0905899479985237,0.4693905413150787,0.5033591389656067,-0.1007728725671768,0.5343570113182068,0.5072946548461914,0.0025260935071855,0.4950098395347595,0.5079466104507446,-0.0025668658781796,0.5324028134346008,0.6478161215782166,-0.0203618127852678,0.4932567477226257,0.6482059359550476,-0.0243008080869913,0.5346006751060486,0.7817126512527466,0.0815031975507736,0.485653817653656,0.7848179340362549,0.0743017718195915,0
