file,score,scaled_score
A100,1.26214956596479,3.788858920655281
A101,1.21233630739917,3.2845649373600683
A102,1.2228836989141,3.3913434584526296
A103,1.28009731171344,3.9705563332594664
A104,1.20919411300834,3.252754335699626
A105,1.24764660329858,3.6420354237967043
A106,1.15462381743598,2.7003015848415277
A108,1.11482812050016,2.2974222891749587
A109,1.14677139787003,2.620806124085801
A10,0.975276539149844,0.8846453526573388
A110,1.2153305270084,3.3148774882165863
A111,1.22031976547324,3.3653869913387204
A112,1.20239741129197,3.1839466350891055
A113,1.10249258076701,2.1725411100019105
A114,1.14798134081638,2.633055211287573
A115,1.22153287448114,3.3776681307658727
A116,1.28300570450227,4.0
A117,1.24703849938649,3.6358791683555687
A118,1.12761154180385,2.4268376824860862
A119,1.10304333419356,2.178116766911053
A11,1.01526310519752,1.2894569480263893
A120,1.13861699608907,2.5382534890259443
A121,1.25919020546493,3.758899272612682
A122,1.23937523593557,3.5582986654536324
A123,1.0799075141365,1.9438968987607588
A124,1.14015571996221,2.553831052379987
A125,1.12902924052152,2.4411900246944285
A126,1.03905266137612,1.5302950379563534
A127,1.0637779315617,1.7806060063406264
A128,1.01159025468712,1.2522741483607636
A129,1.01096819623432,1.2459766214765953
A12,1.05718606815369,1.7138720252463315
A130,1.05757749814846,1.717834741136194
A131,1.05743835967964,1.7164261464228314
A132,1.02793615826065,1.4177550074938008
A133,1.08449030726606,1.9902916753417657
A134,1.05467502507231,1.688451003731208
A135,1.09969727104324,2.144242261146502
A136,1.06145069396885,1.757045774595765
A137,0.98498467390623,0.9829274985686585
A138,1.01064167363625,1.2426710079440113
A139,0.972154347852744,0.8530372561151278
A13,0.997632689139213,1.1109720828075567
A140,1.04675532267398,1.6082743924439686
A141,1.03675498599063,1.507034084831961
A142,1.00623943800816,1.1981041395194314
A143,0.999691838981962,1.131818277300809
A144,1.01910576292036,1.328358823255817
A145,1.11734384651164,2.3228907192223005
A146,1.02825510815072,1.4209839572787875
A147,1.02663202129067,1.4045523292050994
A148,1.03974721127719,1.5373264457841813
A149,1.23209876240003,3.4846339037166363
A14,1.09070923466232,2.0532501678955555
A150,1.1837403660107,2.995068493960945
A151,1.08341598636559,1.979415583677902
A152,1.13612525139299,2.5130278383794273
A153,1.1773346574869,2.930219087190258
A154,1.02640748607502,1.4022792043072165
A155,1.05815489107363,1.7236800880688161
A156,1.19478296601449,3.1068603522372147
A157,1.08766398458754,2.022421000429672
A158,1.18310224577807,2.9886083625983204
A159,1.1712889171117,2.8690138863347077
A15,1.02693134040617,1.407582543115577
A16,0.969750161460107,0.8286980185820134
A17,1.02748343342184,1.4131717616095845
A18,0.969530145494754,0.8264706451727797
A19,1.07668581808516,1.9112814469417128
A20,1.09499057630891,2.0965931431390317
A21,1.0361350746691,1.5007582948389757
A22,0.960228246819561,0.732301107379099
A23,1.04609657343416,1.6016054194093332
A24,0.887892851954438,0.0
A25,0.997670144189849,1.1113512661258866
A26,1.0342084062937,1.4812533016404394
A27,1.0139163597475,1.2758229146980806
A28,0.996225815193784,1.0967293272367673
A29,1.04118598030664,1.5518920972953598
A2,1.00326066398646,1.1679479550015976
A30,0.941132912276324,0.5389858616704029
A31,0.920852637424173,0.333674647708353
A32,1.03502599153664,1.489530281117748
A33,1.06855811511177,1.8289991023307532
A34,1.06733903916769,1.8166575554919806
A35,1.14166852505689,2.569146222057965
A36,1.06860201354032,1.8294435164090803
A37,1.01682470846859,1.3052661353104789
A38,0.997076993462474,1.1053463920900253
A39,1.19464269638672,3.1054403060214018
A3,1.08959056988354,2.0419251525581252
A40,1.04544763060811,1.5950357234668644
A41,1.04285386352016,1.5687772297608333
A42,1.05745840596227,1.7166290887720947
A43,1.04688297566635,1.6095667117552424
A44,1.2321196421721,3.4848452840545363
A45,1.17909359663006,2.9480260416521826
A46,1.10060967191627,2.1534791246617875
A47,1.14137315439492,2.5661559810666574
A48,1.11619079881441,2.3112176218801626
A49,1.1428518878668,2.581126220200561
A4,1.04827494432951,1.623658570870269
A50,1.11479836892571,2.29712109346079
A51,1.12009041733736,2.3506961505871278
A52,1.20502835018411,3.210581444614281
A53,1.1700370213784,2.8563400821268488
A54,1.16319052969542,2.7870283233335673
A55,1.2192726123142,3.3547859374647437
A56,1.14206633726388,2.5731735494853023
A57,1.15471003981844,2.7011744735051497
A58,1.21732637123917,3.335082796324384
A59,1.20114937073132,3.17131185945372
A5,0.892221632444495,0.04382323138458766
A60,1.09361930451571,2.082710812717661
A61,1.08452372767589,1.9906300132076602
A62,1.20838289332654,3.244541799189422
A63,1.07657698726314,1.9101796774465605
A64,1.21436791855823,3.30513233875903
A65,1.23119497758184,3.4754842664688272
A66,1.20719984410416,3.2325649757097388
A67,1.19748563123386,3.134221296857893
A68,1.2229923224756,3.392443129706546
A69,1.23004172861367,3.4638091315221065
A6,0.977434925695385,0.9064961887576874
A70,1.11809384603916,2.330483481874122
A71,1.20005923389123,3.160275652121454
A72,1.15820973822609,2.736604334974679
A73,1.13335588485165,2.4849916302583104
A74,1.06955624118545,1.8391038211951862
A75,1.09028431073137,2.0489483697818276
A76,1.19724749487542,3.131810478207937
A77,1.2324588526679,3.488279345929392
A78,1.28192398290032,3.9890489859292124
A79,1.19927874750902,3.152374250006316
A7,0.977906631569111,0.9112715927536268
A80,1.14386120365597,2.591344220274836
A81,1.18980834956868,3.0564988779016478
A82,1.17733853128138,2.9302583042843633
A83,1.20568887877198,3.217268431216823
A84,1.07994465363744,1.944272887551815
A85,1.16447252614645,2.800006857873898
A86,1.1131989495782,2.2809290679450793
A87,1.21208729710661,3.282044034372941
A88,1.20925144460961,3.2533347430531254
A89,1.20005683161771,3.160251332249251
A8,1.01192798515847,1.255693226927022
A90,1.16369157061263,2.792100706213338
A91,1.19367463239881,3.0956399263914545
A92,1.19876802474336,3.1472038510950515
A93,1.05471176051902,1.6888229020025314
A94,1.17865151207658,2.9435505147172396
A95,1.14678251928712,2.6209187138638157
A96,1.11346038298249,2.283575738663121
A97,1.27779588410398,3.947257393783117
A98,1.13599290296293,2.5116879839129744
A99,1.25523280650608,3.718835792689605
A9,1.04300333906753,1.5702904738520438
B10,1.0547173514494,1.6888795028480246
B11,1.01033694933667,1.239586073625981
B12,0.945697479212401,0.5851961219202835
B13,0.988309584442456,1.016587861827265
B14,1.05837230786077,1.7258811482037935
B15,1.02791984339521,1.4175898408551042
B16,0.997207059075705,1.1066631360267731
B17,1.04336029117756,1.5739041463279264
B18,1.02288111771271,1.3665793444867038
B19,0.951100515503366,0.6398947859209532
B1,1.16270433565426,2.7821062456231136
B20,1.0402826782091,1.5427473469617254
B21,1.04660410579806,1.6067435196824782
B22,1.02202257131639,1.3578876869940775
B6,1.04393748887893,1.579747516875333
B7,0.992186385913246,1.0558353977734232
B8,1.03844341155632,1.5241271817008926
B9,1.00583735689928,1.194033595053087
