file,score
A100,1.26214956596479
A101,1.21233630739917
A102,1.2228836989141
A103,1.28009731171344
A104,1.20919411300834
A105,1.24764660329858
A106,1.15462381743598
A108,1.11482812050016
A109,1.14677139787003
A10,0.975276539149844
A110,1.2153305270084
A111,1.22031976547324
A112,1.20239741129197
A113,1.10249258076701
A114,1.14798134081638
A115,1.22153287448114
A116,1.28300570450227
A117,1.24703849938649
A118,1.12761154180385
A119,1.10304333419356
A11,1.01526310519752
A120,1.13861699608907
A121,1.25919020546493
A122,1.23937523593557
A123,1.0799075141365
A124,1.14015571996221
A125,1.12902924052152
A126,1.03905266137612
A127,1.0637779315617
A128,1.01159025468712
A129,1.01096819623432
A12,1.05718606815369
A130,1.05757749814846
A131,1.05743835967964
A132,1.02793615826065
A133,1.08449030726606
A134,1.05467502507231
A135,1.09969727104324
A136,1.06145069396885
A137,0.98498467390623
A138,1.01064167363625
A139,0.972154347852744
A13,0.997632689139213
A140,1.04675532267398
A141,1.03675498599063
A142,1.00623943800816
A143,0.999691838981962
A144,1.01910576292036
A145,1.11734384651164
A146,1.02825510815072
A147,1.02663202129067
A148,1.03974721127719
A149,1.23209876240003
A14,1.09070923466232
A150,1.1837403660107
A151,1.08341598636559
A152,1.13612525139299
A153,1.1773346574869
A154,1.02640748607502
A155,1.05815489107363
A156,1.19478296601449
A157,1.08766398458754
A158,1.18310224577807
A159,1.1712889171117
A15,1.02693134040617
A16,0.969750161460107
A17,1.02748343342184
A18,0.969530145494754
A19,1.07668581808516
A1,0
A20,1.09499057630891
A21,1.0361350746691
A22,0.960228246819561
A23,1.04609657343416
A24,0.887892851954438
A25,0.997670144189849
A26,1.0342084062937
A27,1.0139163597475
A28,0.996225815193784
A29,1.04118598030664
A2,1.00326066398646
A30,0.941132912276324
A31,0.920852637424173
A32,1.03502599153664
A33,1.06855811511177
A34,1.06733903916769
A35,1.14166852505689
A36,1.06860201354032
A37,1.01682470846859
A38,0.997076993462474
A39,1.19464269638672
A3,1.08959056988354
A40,1.04544763060811
A41,1.04285386352016
A42,1.05745840596227
A43,1.04688297566635
A44,1.2321196421721
A45,1.17909359663006
A46,1.10060967191627
A47,1.14137315439492
A48,1.11619079881441
A49,1.1428518878668
A4,1.04827494432951
A50,1.11479836892571
A51,1.12009041733736
A52,1.20502835018411
A53,1.1700370213784
A54,1.16319052969542
A55,1.2192726123142
A56,1.14206633726388
A57,1.15471003981844
A58,1.21732637123917
A59,1.20114937073132
A5,0.892221632444495
A60,1.09361930451571
A61,1.08452372767589
A62,1.20838289332654
A63,1.07657698726314
A64,1.21436791855823
A65,1.23119497758184
A66,1.20719984410416
A67,1.19748563123386
A68,1.2229923224756
A69,1.23004172861367
A6,0.977434925695385
A70,1.11809384603916
A71,1.20005923389123
A72,1.15820973822609
A73,1.13335588485165
A74,1.06955624118545
A75,1.09028431073137
A76,1.19724749487542
A77,1.2324588526679
A78,1.28192398290032
A79,1.19927874750902
A7,0.977906631569111
A80,1.14386120365597
A81,1.18980834956868
A82,1.17733853128138
A83,1.20568887877198
A84,1.07994465363744
A85,1.16447252614645
A86,1.1131989495782
A87,1.21208729710661
A88,1.20925144460961
A89,1.20005683161771
A8,1.01192798515847
A90,1.16369157061263
A91,1.19367463239881
A92,1.19876802474336
A93,1.05471176051902
A94,1.17865151207658
A95,1.14678251928712
A96,1.11346038298249
A97,1.27779588410398
A98,1.13599290296293
A99,1.25523280650608
A9,1.04300333906753
B10,1.0547173514494
B11,1.01033694933667
B12,0.945697479212401
B13,0.988309584442456
B14,1.05837230786077
B15,1.02791984339521
B16,0.997207059075705
B17,1.04336029117756
B18,1.02288111771271
B19,0.951100515503366
B1,1.16270433565426
B20,1.0402826782091
B21,1.04660410579806
B22,1.02202257131639
B2,1.33541641267038
B3,1.26990895855416
B4,1.26896916793806
B5,1.20345998612817
B6,1.04393748887893
B7,0.992186385913246
B8,1.03844341155632
B9,1.00583735689928
