Var1,score_0_4
A100_kinect,3.3451383745830228
A101_kinect,2.8999032283505537
A102_kinect,2.9941767117311837
A103_kinect,3.505556854181514
A104_kinect,2.8718180273543346
A105_kinect,3.2155096594691974
A106_kinect,2.3840640793346073
A108_kinect,2.0283667518589934
A109_kinect,2.313878484687776
A10_kinect,0.7810428361261845
A110_kinect,2.926665818150045
A111_kinect,2.9712600563397715
A112_kinect,2.8110685287323958
A113_kinect,1.9181106474583867
A114_kinect,2.324693057758546
A115_kinect,2.9821029279382385
A116_kinect,3.5315523165528497
A117_kinect,3.2100743749280896
A118_kinect,2.142626059870372
A119_kinect,1.9230333284768335
A11_kinect,1.1384461679744404
A120_kinect,2.240993747291981
A121_kinect,3.3186873584710352
A122_kinect,3.141579473742422
A123_kinect,1.716243398989615
A124_kinect,2.2547469922792858
A125_kinect,2.1552975717138296
A126_kinect,1.3510792465760229
A127_kinect,1.572075816640039
A128_kinect,1.105617917400675
A129_kinect,1.100057905986591
A12_kinect,1.5131571802584511
A130_kinect,1.5166558148786222
A131_kinect,1.5154121833978578
A132_kinect,1.2517189952547831
A133_kinect,1.7572047941672655
A134_kinect,1.4907132634032336
A135_kinect,1.8931259311506128
A136_kinect,1.5512747688907673
A137_kinect,0.8678149711434116
A138_kinect,1.0971394192044346
A139_kinect,0.7531364244848172
A13_kinect,0.9808640081661426
A140_kinect,1.4199262890720319
A141_kinect,1.3305424283531047
A142_kinect,1.0577918623478515
A143_kinect,0.9992688647796323
A144_kinect,1.1727921698706254
A145_kinect,2.0508525251421577
A146_kinect,1.254569796528084
A147_kinect,1.2400625079809922
A148_kinect,1.3572871927267707
A149_kinect,3.0765417337522716
A14_kinect,1.8127900967235187
A150_kinect,2.644310269520557
A151_kinect,1.7476024224896258
A152_kinect,2.2187223210476676
A153_kinect,2.5870555013435337
A154_kinect,1.238055593106259
A155_kinect,1.5218166020038615
A156_kinect,2.743009968537384
A157_kinect,1.7855713922781349
A158_kinect,2.6386066965508292
A159_kinect,2.5330181591269083
A15_kinect,1.2427378477197928
A16_kinect,0.7316476018115168
A17_kinect,1.2476725020998494
A18_kinect,0.7296810803807144
A19_kinect,1.6874476053828715
A1_kinect,0.0
A20_kinect,1.8510570928803676
A21_kinect,1.3250016081811224
A22_kinect,0.6465399180447182
A23_kinect,1.4140383322796566
A24_kinect,0.0
A25_kinect,0.9811987845977046
A26_kinect,1.3077808822024621
A27_kinect,1.126408842478304
A28_kinect,0.9682892490586132
A29_kinect,1.3701470328108725
A2_kinect,1.031167326524764
A30_kinect,0.47586419209283604
A31_kinect,0.2945973687723468
A32_kinect,1.3150885287142509
A33_kinect,1.6148015042023134
A34_kinect,1.6039052996202356
A35_kinect,2.2682685730179517
A36_kinect,1.6151938720942693
A37_kinect,1.1524039109684268
A38_kinect,0.9758971528947153
A39_kinect,2.741756226661617
A3_kinect,1.8027913756860443
A40_kinect,1.408238026048489
A41_kinect,1.3850547149793075
A42_kinect,1.515591358778775
A43_kinect,1.421067262386395
A44_kinect,3.076728358932767
A45_kinect,2.6027770491637234
A46_kinect,1.9012810478368853
A47_kinect,2.2656285248929766
A48_kinect,2.0405464866521643
A49_kinect,2.2788455705661486
A4_kinect,1.4335087968119469
A50_kinect,2.0281008297534666
A51_kinect,2.075401609029459
A52_kinect,2.834584084552289
A53_kinect,2.521828608474457
A54_kinect,2.4606340828917665
A55_kinect,2.9619005122481346
A56_kinect,2.2718242523943344
A57_kinect,2.384834742330134
A58_kinect,2.944504843813734
A59_kinect,2.7999134359413267
A5_kinect,0.038691008578768026
A60_kinect,1.8388005488406804
A61_kinect,1.7575035086357864
A62_kinect,2.8645672767699883
A63_kinect,1.6864748662296443
A64_kinect,2.918061941864547
A65_kinect,3.0684636280977426
A66_kinect,2.853993082093833
A67_kinect,2.7671666203769427
A68_kinect,2.9951475983722378
A69_kinect,3.058155790630952
A6_kinect,0.8003346788383856
A70_kinect,2.057556084775177
A71_kinect,2.790169700048772
A72_kinect,2.4161153446670998
A73_kinect,2.1939694871132938
A74_kinect,1.6237228400307642
A75_kinect,1.8089920904500494
A76_kinect,2.7650381373299315
A77_kinect,3.0797602512251
A78_kinect,3.5218837967752763
A79_kinect,2.7831936463128395
A7_kinect,0.8045508260994689
A80_kinect,2.2878669210243596
A81_kinect,2.6985464231986875
A82_kinect,2.587090125648417
A83_kinect,2.8404879453090315
A84_kinect,1.7165753550111276
A85_kinect,2.4720926763221067
A86_kinect,2.0138050834485437
A87_kinect,2.897677553154555
A88_kinect,2.8723304620877834
A89_kinect,2.790148228323518
A8_kinect,1.1086365811084615
A90_kinect,2.46511242926914
A91_kinect,2.7331035883153088
A92_kinect,2.778628762749695
A93_kinect,1.491041607953636
A94_kinect,2.5988256597849997
A95_kinect,2.3139778888606193
A96_kinect,2.016141797474907
A97_kinect,3.484986498261282
A98_kinect,2.2175393795114546
A99_kinect,3.2833157896381575
A9_kinect,1.386390740148264
B10_kinect,1.4910915801653921
B11_kinect,1.094415767470121
B12_kinect,0.5166626800013299
B13_kinect,0.8975333046038962
B14_kinect,1.5237598917584991
B15_kinect,1.2515731715984075
B16_kinect,0.9770596904197479
B17_kinect,1.3895812084991312
B18_kinect,1.206536612443823
B19_kinect,0.5649554783923081
B1_kinect,2.456288439156614
B20_kinect,1.362073241754612
B21_kinect,1.418574699760234
B22_kinect,1.1988628516556317
B2_kinect,4.0
B3_kinect,3.414492486192731
B4_kinect,3.406092557650894
B5_kinect,2.820565913087512
B6_kinect,1.3947402506974242
B7_kinect,0.932184486226308
B8_kinect,1.3456337198142385
B9_kinect,1.0541980271629137
